topology,final_mode_choice_equity_mean,final_mode_choice_equity_std,final_mode_choice_equity_sem,final_mode_choice_equity_ci_lower,final_mode_choice_equity_ci_upper,final_mode_choice_equity_count,final_travel_time_equity_mean,final_travel_time_equity_std,final_travel_time_equity_sem,final_travel_time_equity_ci_lower,final_travel_time_equity_ci_upper,final_travel_time_equity_count,final_system_efficiency_mean,final_system_efficiency_std,final_system_efficiency_sem,final_system_efficiency_ci_lower,final_system_efficiency_ci_upper,final_system_efficiency_count
degree_constrained,1.3124072811101957,0.10525808375423507,0.005626281237095769,1.3013415980621297,1.3234729641582617,350,8.807643473231069,1.3675615004539607,0.0730992370005888,8.663873022800917,8.951413923661221,350,2555.9657142857145,128.63528314737462,6.875845105544739,2542.4424083187296,2569.4890202526994,350
small_world,1.3218140563957885,0.11168773593745791,0.005969960602606382,1.3100724300792228,1.3335556827123543,350,8.62621429225451,1.4383636129416166,0.07688376910328362,8.475000482530916,8.777428101978103,350,2549.097142857143,134.7950444314429,7.205098195677571,2534.92626699728,2563.268018717006,350
scale_free,1.2949577528132357,0.12378379598098428,0.006616522208502405,1.2819444791153196,1.3079710265111517,350,8.965441248420811,1.5839907462872906,0.08466786680610584,8.798917795548439,9.131964701293183,350,2507.885714285714,170.40305690058577,9.108426522584814,2489.971401666399,2525.8000269050294,350
