S_base,Mode_Equity_Mean,Mode_Equity_Std,Time_Equity_Mean,Time_Equity_Std,Efficiency_Mean,Efficiency_Std,Valid_Runs
0.0000,1.4743,0.0386,10.4906,0.8055,3757.3333,50.2284,3
0.0200,1.3624,0.0256,9.9085,0.1640,3792.0000,83.1745,3
0.0500,1.4521,0.0687,11.2489,0.5347,3807.3333,106.0891,3
0.0800,1.4481,0.1041,11.2469,0.3622,3896.3333,82.0582,3
0.1000,1.4264,0.0567,11.1004,0.4786,3934.6667,157.0506,3
0.1500,1.4126,0.0288,10.2895,0.7959,3890.6667,170.2005,3
0.2000,1.3535,0.0683,10.8589,1.2292,3854.6667,196.3404,3
0.2500,1.4149,0.0103,10.8102,1.0731,3820.6667,150.8340,3
0.3000,1.4479,0.0480,10.7236,1.5130,3832.3333,200.2537,3
